counter,factor,rmse
0,0.0,0.1215483995972471
1,0.1,0.1019664653853608
2,0.2,0.1367785754196667
3,0.30000000000000004,0.1204666883542769
4,0.4,0.0909538358987306
5,0.5,0.11632239916508376
6,0.6000000000000001,0.10715452937043772
7,0.7000000000000001,0.1387279389765151
8,0.8,0.12051124862968939
9,0.9,0.08258186271445475
10,1.0,0.10222583565353845
